activity,micromorts,microlives,category,period,period_type,period_days,micromorts_per_day,source_url,n_components,hedgeable_pct,source_id,confidence,year,geography,age_group,last_accessed
Flying (12h ultra-long-haul),6.6,4.6,Travel,per 12h flight,event,0.5,13.2,https://en.wikipedia.org/wiki/Micromort,3,75.8,wikipedia_micromort,medium,2025,global,all,2026-03-15
Chest X-ray (radiation per scan),0.1,0.1,Medical,per event,event,1,0.1,https://www.nrc.gov/about-nrc/radiation/health-effects.html,1,0,unknown,low,2025,global,all,2026-03-15
CT scan chest (radiation per scan),7,4.9,Medical,per event,event,1,7,https://www.nrc.gov/about-nrc/radiation/health-effects.html,1,0,unknown,low,2025,global,all,2026-03-15
CT scan abdomen (radiation per scan),10,7,Medical,per event,event,1,10,https://www.nrc.gov/about-nrc/radiation/health-effects.html,1,0,unknown,low,2025,global,all,2026-03-15
Mammogram (radiation per scan),0.1,0.1,Medical,per event,event,1,0.1,https://www.nrc.gov/about-nrc/radiation/health-effects.html,1,0,unknown,low,2025,global,all,2026-03-15
Dental X-ray (radiation per scan),0.05,0,Medical,per event,event,1,0.05,https://www.nrc.gov/about-nrc/radiation/health-effects.html,1,0,unknown,low,2025,global,all,2026-03-15
Coronary angiogram (radiation per scan),5,3.5,Medical,per event,event,1,5,https://www.nrc.gov/about-nrc/radiation/health-effects.html,1,0,unknown,low,2025,global,all,2026-03-15
Barium enema (radiation per scan),3,2.1,Medical,per event,event,1,3,https://www.nrc.gov/about-nrc/radiation/health-effects.html,1,0,unknown,low,2025,global,all,2026-03-15
CT scan head (radiation per scan),2,1.4,Medical,per event,event,1,2,https://www.nrc.gov/about-nrc/radiation/health-effects.html,1,0,unknown,low,2025,global,all,2026-03-15
Drinking a glass of wine,0.5,0.3,Daily Life,per event,event,1,0.5,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Cup of coffee,0.01,0,Daily Life,per event,event,1,0.01,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
